Ex-Div Date,Pay Date,Amount
12/21/2000,1/2/2001,0.179
3/16/2001,3/19/2001,0.073
6/22/2001,6/29/2001,0.065
9/21/2001,9/28/2001,0.076
12/21/2001,1/2/2002,0.095
3/22/2002,4/1/2002,0.073
6/21/2002,6/28/2002,0.063
9/27/2002,10/4/2002,0.073
12/20/2002,1/2/2003,0.095
3/28/2003,4/4/2003,0.073
6/20/2003,6/27/2003,0.072
9/26/2003,10/3/2003,0.083
12/22/2003,1/2/2004,0.11
3/26/2004,4/2/2004,0.085
6/25/2004,6/28/2004,0.095
9/24/2004,9/27/2004,0.096
12/23/2004,1/3/2005,0.192
3/23/2005,3/28/2005,0.106
6/24/2005,6/27/2005,0.097
9/23/2005,9/26/2005,0.138
12/23/2005,12/27/2005,0.161
3/17/2006,3/20/2006,0.127
6/23/2006,6/26/2006,0.129
9/22/2006,9/25/2006,0.128
12/21/2006,12/22/2006,0.172
3/23/2007,3/26/2007,0.146
6/22/2007,6/25/2007,0.138
9/21/2007,9/24/2007,0.157
12/19/2007,12/20/2007,0.188
3/24/2008,3/25/2008,0.152
6/23/2008,6/24/2008,0.153
9/23/2008,9/24/2008,0.143
12/19/2008,12/22/2008,0.161
3/24/2009,3/25/2009,0.135
6/23/2009,6/24/2009,0.109
9/23/2009,9/24/2009,0.12
12/21/2009,12/22/2009,0.175
3/24/2010,3/25/2010,0.115
6/23/2010,6/24/2010,0.131
9/23/2010,9/24/2010,0.145
12/21/2010,12/22/2010,0.17
3/24/2011,3/25/2011,0.137
6/23/2011,6/24/2011,0.138
9/22/2011,9/23/2011,0.149
12/20/2011,12/21/2011,0.175
3/23/2012,3/26/2012,0.151
6/22/2012,6/25/2012,0.168
9/21/2012,9/24/2012,0.177
12/19/2012,12/20/2012,0.265
3/21/2013,3/22/2013,0.177
6/21/2013,6/24/2013,0.188
9/20/2013,9/23/2013,0.209
12/19/2013,12/20/2013,0.24
3/24/2014,3/25/2014,0.206
6/23/2014,6/24/2014,0.205
9/23/2014,9/24/2014,0.226
12/19/2014,12/22/2014,0.273
3/24/2015,3/25/2015,0.247
6/25/2015,6/26/2015,0.228
9/24/2015,9/25/2015,0.247
12/18/2015,12/21/2015,0.283
3/14/2016,3/15/2016,0.234
6/13/2016,6/14/2016,0.228
9/12/2016,9/13/2016,0.262
12/19/2016,12/20/2016,0.354
3/23/2017,3/24/2017,0.264
6/20/2017,6/21/2017,0.28
9/21/2017,9/22/2017,0.269
12/20/2017,12/21/2017,0.3276
3/21/2018,3/22/2018,0.2755
6/21/2018,6/22/2018,0.2937
9/27/2018,9/28/2018,0.3476
12/21/2018,12/24/2018,0.3462
3/22/2019,3/25/2019,0.3736
6/14/2019,6/17/2019,0.2647
9/13/2019,9/16/2019,0.3389
12/23/2019,12/24/2019,0.4289
3/25/2020,3/26/2020,0.2965
6/24/2020,6/25/2020,0.3389
9/24/2020,9/25/2020,0.3259
12/23/2020,12/24/2020,0.3781
3/24/2021,3/25/2021,0.3244
6/23/2021,6/24/2021,0.326
9/23/2021,9/24/2021,0.3496
12/23/2021,12/27/2021,0.4152
3/22/2022,3/23/2022,0.3422
6/22/2022,6/23/2022,0.3621
9/22/2022,9/23/2022,0.3847
